date,year,week,ili_fmc,ili_pmp,pos_total,ili_plus
2019-01-05,2019.0,1.0,4.1,42.8,0.1982,0.008126199999999998
2019-01-12,2019.0,2.0,6.4,47.9,0.2517,0.0161088
2019-01-19,2019.0,3.0,7.7,54.6,0.2995,0.0230615
2019-01-26,2019.0,4.0,7.2,61.5,0.2585,0.018612
2019-02-02,2019.0,5.0,5.9,43.3,0.203,0.011977000000000002
2019-02-09,2019.0,6.0,6.8,26.8,0.1665,0.011322
2019-02-16,2019.0,7.0,5.1,29.0,0.1588,0.0080988
2019-02-23,2019.0,8.0,4.3,38.2,0.1379,0.0059296999999999996
2019-03-02,2019.0,9.0,4.5,47.6,0.1334,0.006003
2019-03-09,2019.0,10.0,4.1,42.8,0.1251,0.005129099999999999
2019-03-16,2019.0,11.0,3.4,39.5,0.1189,0.0040425999999999995
2019-03-23,2019.0,12.0,3.6,40.4,0.092,0.0033120000000000003
2019-03-30,2019.0,13.0,2.6,36.5,0.0812,0.0021111999999999997
2019-04-06,2019.0,14.0,2.6,33.5,0.0636,0.0016536000000000003
2019-04-13,2019.0,15.0,2.4,30.1,0.0483,0.0011592
2019-04-20,2019.0,16.0,2.4,36.6,0.0439,0.0010536
2019-04-27,2019.0,17.0,2.4,29.6,0.0603,0.0014472
2019-05-04,2019.0,18.0,2.2,28.0,0.0598,0.0013156
2019-05-11,2019.0,19.0,2.1,19.0,0.0495,0.0010395
2019-05-18,2019.0,20.0,2.7,27.9,0.065,0.001755
2019-05-25,2019.0,21.0,3.0,38.9,0.0697,0.002091
2019-06-01,2019.0,22.0,3.0,34.6,0.0656,0.001968
2019-06-08,2019.0,23.0,3.4,24.4,0.065,0.0022099999999999997
2019-06-15,2019.0,24.0,3.1,36.8,0.0764,0.0023683999999999997
2019-06-22,2019.0,25.0,2.4,33.2,0.0778,0.0018671999999999998
2019-06-29,2019.0,26.0,2.8,32.4,0.0792,0.0022176
2019-07-06,2019.0,27.0,3.0,43.7,0.0981,0.0029430000000000003
2019-07-13,2019.0,28.0,3.3,46.3,0.0918,0.0030294000000000002
2019-07-20,2019.0,29.0,2.7,41.7,0.0787,0.0021249000000000003
2019-07-27,2019.0,30.0,2.9,46.1,0.0708,0.0020532
2019-08-03,2019.0,31.0,1.9,41.0,0.0532,0.0010107999999999998
2019-08-10,2019.0,32.0,2.1,34.4,0.0438,0.0009198
2019-08-17,2019.0,33.0,2.0,29.3,0.0329,0.000658
2019-08-24,2019.0,34.0,1.9,34.6,0.0307,0.0005833
